SIEL Report,,,,,,
Client: Jessica O'Connell,,,,,,
"Analyte: Leaf Chlorophyll a, b & a+b",,,,,,
Sample #: 45,,,,,,
Method: Ni et al 2016 (equations modified by MCM),,,,,,
Date submitted: 10/31/16,,,,,,
Date analyzed: 11/1/16-11/3/16,,,,,,
,,,,,,
,,,,,,
SIEL#,Site,Sample,Chlorophyll a (mg/g),Chlorophyll b (mg/g),Chlorophyll a+b (mg/g),SPAD
1,fluxa,t1,0.34,0.1,0.44,35.5
2,fluxa,t2,0.6,0.19,0.8,36.6
3,fluxa,t3,0.24,0.07,0.32,31.4
4,fluxa,t4,0.64,0.2,0.85,41
5,fluxa,t5,0.3,0.08,0.38,28.9
6,fluxa,t6,0.65,0.17,0.83,46.7
7,fluxa,m1,0.59,0.18,0.78,43
8,fluxa,m2,0.38,0.1,0.48,32.4
9,fluxa,m3,0.54,0.15,0.7,42.5
10,fluxa,m4,0.58,0.17,0.76,49.8
11,fluxa,m5,0.37,0.1,0.47,36.3
12,fluxa,m6,0.49,0.14,0.64,36.7
13,fluxa,s1,0.57,0.18,0.75,49.3
14,fluxa,s2,0.68,0.22,0.91,47.6
15,fluxa,s3,0.66,0.2,0.87,41.1
16,fluxa,s4,1.07,0.33,1.41,45.4
17,fluxa,s5,0.53,0.14,0.68,52
17b,fluxa,s5,0.67,0.19,0.87,52
18,fluxa,s6,0.75,0.22,0.98,48.3
19,fluxb,fb1,0.37,0.1,0.48,37
20,fluxb,fb2,0.47,0.13,0.61,40.2
21,fluxb,fb3,0.61,0.16,0.79,44.2
22,fluxb,fb4,0.58,0.15,0.74,36.2
23,fluxb,fb5,0.52,0.15,0.67,45.4
24,fluxb,fb6,0.45,0.12,0.57,41.5
25,fluxb,fb7,0.38,0.1,0.48,39.3
26,fluxb,fb8,0.62,0.18,0.81,34
27,fluxb,fb9,0.53,0.15,0.69,47.9
28,skida,sk1,0.45,0.13,0.59,30
29,skida,sk2,0.34,0.1,0.44,37.3
30,skida,sk3,0.63,0.18,0.82,34.6
31,skida,sk4,0.37,0.1,0.47,35.8
32,skida,sk5,0.55,0.16,0.71,48.6
33,skida,sk6,0.4,0.11,0.52,34.4
34,skida,sk7,0.42,0.12,0.55,40.4
35,skida,sk8,0.58,0.18,0.77,35.3
36,skida,sk9,0.59,0.17,0.77,44.7
37,ugami,tm1,0.57,0.18,0.76,41.5
38,ugami,tm2,0.81,0.26,1.09,36.6
38b,ugami,tm2,0.74,0.22,0.97,36.6
39,ugami,tm3,1.22,0.39,1.63,47.4
39b,ugami,tm3,0.83,0.25,1.09,47.4
40,ugami,tm4,0.65,0.19,0.85,47.4
41,ugami,tm5,1.09,0.35,1.46,48.6
42,ugami,tm6,0.75,0.21,0.97,47.2
43,ugami,tm7,0.93,0.32,1.27,49.9
44,ugami,tm8,0.54,0.16,0.71,44.2
45,ugami,tm9,0.75,0.25,1.01,44.9
