"date","lat","long","Iu","Id","trans"
2019-08-10,31,-81,4.77,6.95,0.46
2019-08-26,31,-81,4.69,6.74,0.42
2019-09-11,31,-81,3.94,5.86,0.54
2019-09-27,31,-81,3.75,5.64,0.56
2019-10-13,31,-81,3.55,5.34,0.57
2019-10-22,31,-81,4.75,6.84,0.42
2020-03-14,31,-81,2.37,3.76,0.7
2020-03-21,31,-81,2.66,4.17,0.67
2020-04-06,31,-81,1.91,3.09,0.76
2020-04-22,31,-81,0.98,1.65,0.87
2020-05-01,31,-81,0.94,1.58,0.88
2020-05-17,31,-81,3.9,5.72,0.53
2020-06-02,31,-81,2.32,3.68,0.72
2020-06-18,31,-81,3.18,4.9,0.62
2020-07-04,31,-81,3.91,5.84,0.53
2020-07-11,31,-81,4.8,6.92,0.45
2020-07-20,31,-81,4.23,6.26,0.51
2020-07-27,31,-81,4.61,6.8,0.44
2020-08-05,31,-81,4.78,6.92,0.43
2020-08-12,31,-81,4.18,6.28,0.49
