all,potential
elevation,elevation
greendoy,greendoy
predchl.l8,growingday
predn.l8,predag.allom.l8
lagg_photo_1,predchl.l8
roll_chl_2,predlai.l8
roll_photo_2,photo
roll_ag_3,predn.l8
roll_ndvi_3,lagg_ag_1
diff_lai_1,lagg_chl_1
diff_photo_1,lagg_lai_1
diff_ag_3,lagg_photo_1
diff_lai_3,lagg_N_1
diff_photo_4,lagg_ndvi_1
diff_N_4,roll_ag_2
diff_ndvi_4,roll_chl_2
diff_ag_5,roll_lai_2
diff_ndvi_5,roll_photo_2
diff_N_growing,roll_N_2
diff_chl_growing,roll_ndvi_2
local_hiwater,roll_ag_3
flood_time,roll_chl_3
lagg_lochi_1,roll_lai_3
roll_lochi_2,roll_photo_3
roll_lochi_4,roll_N_3
roll_lochi_5,roll_ndvi_3
lagg_loclo_1,roll_ag_4
roll_loclo_5,roll_chl_4
roll_lst_3,roll_lai_4
roll_lst_4,roll_photo_4
roll_lst_5,roll_N_4
roll_prcp_4,roll_ndvi_4
roll_vp_5,roll_ag_5
NA,roll_chl_5
NA,roll_lai_5
NA,roll_photo_5
NA,roll_N_5
NA,roll_ndvi_5
NA,diff_ag_1
NA,diff_chl_1
NA,diff_lai_1
NA,diff_photo_1
NA,diff_N_1
NA,diff_ndvi_1
NA,diff_ag_2
NA,diff_chl_2
NA,diff_lai_2
NA,diff_photo_2
NA,diff_N_2
NA,diff_ndvi_2
NA,diff_ag_3
NA,diff_chl_3
NA,diff_lai_3
NA,diff_photo_3
NA,diff_N_3
NA,diff_ndvi_3
NA,diff_ag_4
NA,diff_chl_4
NA,diff_lai_4
NA,diff_photo_4
NA,diff_N_4
NA,diff_ndvi_4
NA,diff_ag_5
NA,diff_chl_5
NA,diff_lai_5
NA,diff_photo_5
NA,diff_N_5
NA,diff_ndvi_5
NA,diff_N_growing
NA,diff_chl_growing
NA,diff_ag_growing
NA,diff_lai_growing
NA,growag
NA,growchl
NA,growlai
NA,growphoto
NA,growN
NA,local_hiwater
NA,local_lowater
NA,flood_time
NA,lagg_lochi_1
NA,roll_lochi_2
NA,roll_lochi_3
NA,roll_lochi_4
NA,roll_lochi_5
NA,lagg_loclo_1
NA,roll_loclo_2
NA,roll_loclo_3
NA,roll_loclo_4
NA,roll_loclo_5
NA,lst
NA,lagg_lst_1
NA,roll_lst_2
NA,roll_lst_3
NA,roll_lst_4
NA,roll_lst_5
NA,diff_lst_2
NA,diff_lst_3
NA,diff_lst_4
NA,diff_lst_5
NA,dayl_mean
NA,par_tot
NA,prcp_mean
NA,tmax_mean
NA,tmin_mean
NA,vp_mean
NA,lagg_par_1
NA,roll_par_2
NA,roll_par_3
NA,roll_par_4
NA,roll_par_5
NA,lagg_prcp_1
NA,roll_prcp_2
NA,roll_prcp_3
NA,roll_prcp_4
NA,roll_prcp_5
NA,lagg_tmax_1
NA,roll_tmax_2
NA,roll_tmax_3
NA,roll_tmax_4
NA,roll_tmax_5
NA,lagg_tmin_1
NA,roll_tmin_2
NA,roll_tmin_3
NA,roll_tmin_4
NA,roll_tmin_5
NA,lagg_vp_1
NA,roll_vp_2
NA,roll_vp_3
NA,roll_vp_4
NA,roll_vp_5
